...ဖြစ်စေ...ဖြစ်စေ	... ဖြစ် စေ... ဖြစ် စေ	... hpji' sei ... hpji' se...ရိုး..စဉ်	... ရိုး.. စဉ်	jou: ... si...ရိုး..စဉ်	... ရိုး.. စဉ်	jou: ... zi...လို...ငြား	... လို... ငြား	... lou ... njaကကတစ်	က က တစ်	ka. ga- diကကတိုး	က က တိုး	ka. ga- douကကုသန်	က ကု သန်	ka. ku. thaကကုသန်	က ကု သန်	kau' ka- thaကကူရံ	က ကူ ရံ	ka. ku janကကြိုး	က ကြိုး	ka. gyou:ကကြိုးတန်ဆာ	က ကြိုး တန် ဆာ	ka. gyou: da- zaကကြီကကြောင်လုပ်	က ကြီ က ကြောင် လုပ်	ga- gyi ga- gyaun lou'ကကြီး	က ကြီး	ka. gyi:ကကြီးထွန်	က ကြီး ထွန်	ka. gyi: htunကကွက်	က ကွက်	ka. gwe'ကချလာ	က ချ လာ	ka- cha- la-ကချင်	က ချင်	ka- chinကချေသည်	က ချေ သည်	ka. gyei dheကချော်ကချွတ်	က ချော် က ချွတ်	ka- cho ka- chu'ကစဉ့်ကရဲ	က စဉ့် က ရဲ	ga- zin. ga je:ကစဉ့်ကလျား	က စဉ့် က လျား	ga- zin. ga- ja:ကစား	က စား	ga- za:ကစားကွက်	က စား ကွက်	ga- za: gwe'ကစားကွင်း	က စား ကွင်း	ga- za: gwin:ကစားခုန်စား	က စား ခုန် စား	ga- za: khoun za:ကစားစရာ	က စား စ ရာ	ga- za: za- jaကစားဒိုင်	က စား ဒိုင်	ga- za: dainကစားဖော်	က စား ဖော်	ga- za: boကစားဝိုင်း	က စား ဝိုင်း	ga- za: wain:ကစားသမား	က စား သ မား	ga- za: dha- ma:ကစိန်းကဝါး	က စိန်း က ဝါး	ga- zein: ga- wa:ကစိုကရွား	က စို က ရွား	ga- zou ga- jwa:ကစီ	က စီ	ga- ziကစီဓာတ်	က စီ ဓာတ်	ga- zi da'ကစော့ခါး	က စော့ ခါး	ga- zo. ga:ကစော်	က စော်	ga- zoကဆုန်	က ဆုန်	ka- hsounကဆုန်ပေါက်	က ဆုန် ပေါက်	ka- hsoun pau'ကဇာတ်	က ဇာတ်	ka. za'ကည	က ည	ka- nja.ကညင်	က ညင်	ka- njinကညင်ဆီ	က ညင် ဆီ	ka- njin ziကညင်ဆီတိုင်	က ညင် ဆီ တိုင်	ka- njin zi dainကညစ်	က ညစ်	ka- nji'ကညာ	က ညာ	ka- njaကညာစစ်	က ညာ စစ်	ka- nja si'ကညာမြှေး	က ညာ မြှေး	ka- nja mhjei:ကညို့	က ညို့	ka- njou.ကညွတ်	က ညွတ်	ka- nju'ကဏန်း	က ဏန်း	ga- nan:ကဏန်းမြင်း	က ဏန်း မြင်း	ga- nan: mjin:ကဏန်းလက်မ	က ဏန်း လက် မ	ga- nan: le' ma.ကတညုတ	က တ ညု တ	ka- tin nju. ta.ကတင်	က တင်	ka- tinကတင်	က တင်	ka. tinကတည်းက	က တည်း က	ga- de: ga.ကတတ်ငန်း	က တတ် ငန်း	ga- da' ngan:ကတမ်းကရမ်း	က တမ်း က ရမ်း	ga- dan: ga- jan:ကတိ	က တိ	ga- di.ကတိကဝတ်	က တိ က ဝတ်	ga- di. ka- wu'ကတိခံဝန်ချက်	က တိ ခံ ဝန် ချက်	ga- di. khan wun gye'ကတိခံဝန်ချုပ်	က တိ ခံ ဝန် ချုပ်	ga- di. khan wun gyou'ကတိစာချုပ်	က တိ စာ ချုပ်	ga- di. sa gyou'ကတိတည်	က တိ တည်	ga- di. tiကတိထား	က တိ ထား	ga- di. hta:ကတိပေး	က တိ ပေး	ga- di. pei:ကတိပျက်	က တိ ပျက်	ga- di. pje'ကတိပြု	က တိ ပြု	ga- di pju.ကတိဖျက်	က တိ ဖျက်	ga- di. hpje'ကတိသစ္စာပြု	က တိ သစ် စာ ပြု	ga- di. thi' sa pju.ကတိသစ္စာပြုပွဲ	က တိ သစ် စာ ပြု ပွဲ	ga- di. thi' sa pju. bwe:ကတိမ်းကပါးဖြစ်	က တိမ်း က ပါး ဖြစ်	ga- dein: ga- ba: hpji'ကတိမ်းကယိမ်း	က တိမ်း က ယိမ်း	ga- dein: ga- jein:ကတိုက်ကရိုက်	က တိုက် က ရိုက်	ga- dai' ga- jai'ကတိုး	က တိုး	ga- dou:ကတိုးခွာ	က တိုး ခွာ	ga- dou: khwaကတုတ်	က တုတ်	ga- dou'ကတုတ်ကျင်း	က တုတ် ကျင်း	ga- dou' kyin:ကတုန်ကယင်	က တုန် က ယင်	ga- doun ga- jinကတုန်းကတိုက်လုပ်	က တုန်း က တိုက် လုပ်	ga- doun: ga- dai' lou'ကတူး	က တူး	ga- du:ကတောကမျော	က တော က မျော	ga- do: ga- mjo:ကတောက်	က တောက်	ga- dau'ကတောက်ကဆတ်ဖြစ်	က တောက် က ဆတ် ဖြစ်	ga- dau' ga- hsa' hpji'ကတောက်ကတက်ဖြစ်	က တောက် က တက် ဖြစ်	ga- dau' ga- de' hpji'ကတောက်စပ်	က တောက် စပ်	ga- dau' sa'ကတောင်ချောက်ချားဖြစ်	က တောင် ချောက် ချား ဖြစ်	ga- daun chau' cha: hpji'ကတော့	က တော့	ga- do.ကတော့ပုံ	က တော့ ပုံ	ga- do. pounကတော်	က တော်	ga- doကတွတ်	က တွတ်	ga- du'ကတွတ်မုန့်	က တွတ် မုန့်	ga- du' moun.ကထိက	က ထိ က	ka- hti. ka.ကထိန်	က ထိန်	ka- hteinကဒတ်	က ဒတ်	ga- da'ကဒူဥ	က ဒူ ဥ	ka- du u.ကနကုတ်	က န ကုတ်	ka- na- gou'ကနခို	က န ခို	ka- na- khouကနစို	က န စို	ka- na- zou
ကနစိုး	က န စိုး	ka- na- zou:
ကတ္တရသင်္ချေ	ကတ် တ ရ သင် ချေ	ka' ta ra. thin chei
ကတ္တရာ	ကတ် တ ရာ	ka' ta- ja
ကတ္တရာစေး	ကတ် တ ရာ စေး	ka' ta' ja zi
ကတ္တရီ	ကတ် တ ရီ	ka' ta' ji
ကတ္တဝါ	ကတ် တ ဝါ	ka' ta- wa
ကတ္တား	ကတ် တား	ka' ta:
ကတ္တားခြား	ကတ် တား ခြား	ka' ta: cha:
ကတ္တိမသား	ကတ် တိ မ သား	kei' ti. ma. tha:
ကတ္တီပါ	ကတ် တီ ပါ	ga- di ba
ကတ်တီးကတ်ဖဲ့	ကတ် တီး ကတ် ဖဲ့	ka' ti: ka' hpe.
ကတ္တူ	ကတ် တူ	ka' tu
ကတ်ထူဖုံး	ကတ် ထူ ဖုံး	ga' htu boun:
ကတ်ပြား	ကတ် ပြား	ka' pja:
ကတ်ဖို	ကတ် ဖို	ka' hpou
ကတ်ဖိုကတ်မ	ကတ် ဖို ကတ် မ	ka' hpou ka' ma
ကတ်ဖဲ့	ကတ် ဖဲ့	ka' hpe.
ကတ်သီးကတ်သတ်	ကတ် သီး ကတ် သတ်	ka' thi: ka' tha'
ကန့်ကလာ	ကန့် က လာ	gan. ga- la
ကန့်ကွက်	ကန့် ကွက်	kan. gwe'
ကန့်ကွက်လွှာ	ကန့် ကွက် လွှာ	kan. gwe' lhwa
ကန့်ချုပ်	ကန့် ချုပ်	kan. gyou'
ကန့်ချုပ်ညို	ကန့် ချုပ် ညို	kan. gyou' njou
ကန့်ချုပ်နီ	ကန့် ချုပ် နီ	kan. gyou' ni
ကန့်ချုပ်ပြာ	ကန့် ချုပ် ပြာ	kan. gyou' pja
ကန့်ချုပ်ဖြူ	ကန့် ချုပ် ဖြူ	kan gyou' hpju'
ကန့်ထောက်	ကန့် ထောက်	kan. htau'
ကန့်ပလူ	ကန့် ပ လူ	kan. ba- lu
ကန့်လန့်	ကန့် လန့်	ga- lan.
ကန့်လန့်	ကန့် လန့်	kan. lan.
ကန့်လန့်ကန့်လန့်	ကန့် လန့် ကန့် လန့်	kan. lan. kan. lan.
ကန့်လန့်ကာ	ကန့် လန့် ကာ	ka- la- ga
ကန့်လန့်ကာချ	ကန့် လန့် ကာ ချ	ka- la- ga cha.
ကန့်လန့်ကျင်	ကန့် လန့် ကျင်	ga- lan. gyin
ကန့်လန့်ချ	ကန့် လန့် ချ	ga- lan. cha.
ကန့်လန့်တိုက်	ကန့် လန့် တိုက်	ga- lan. tai'
ကန့်လန့်တိုက်	ကန့် လန့် တိုက်	kan. lan. tai'
ကန့်လန့်ထိုး	ကန့် လန့် ထိုး	ga- lan. htou:
ကန့်လန့်ဖြတ်	ကန့် လန့် ဖြတ်	kan lan. bja'
ကန့်လန့်ဖြတ်မျဉ်း	ကန့် လန့် ဖြတ် မျဉ်း	kan. lan. bja' mjin:
ကန့်လန့်သမား	ကန့် လန့် သ မား	ga- lan. dha- ma:
ကန့်သတ်	ကန့် သတ်	kan. tha'
ကန့်သတ်ကုန်	ကန့် သတ် ကုန်	kan. tha' koun
ကန့်သတ်စစ်ပွဲ	ကန့် သတ် စစ် ပွဲ	kan. tha' si' pwe:
ကန့်သတ်စျေး	ကန့် သတ် စျေး	kan. tha' zei:
ကန့်အိတ်	ကန့် အိတ်	kan. ei'
ကန်ကျောက်	ကန် ကျောက်	kan kyau'
ကန်ကြိုးဆက်	ကန် ကြိုး ဆက်	kan gyou: ze'
ကန်စွန်း	ကန် စွန်း	ga- zun:
ကန်စွန်းကြီး	ကန် စွန်း ကြီး	ga- zun: gyi
ကန်စွန်းဥ	ကန် စွန်း ဥ	ga- zun: u.
ကန္တာရ	ကန် တာ ရ	kan ta ja.
ကန္တာရရာသီဥတု	ကန် တာ ရ ရာ သီ ဥ တု	gan da ja: ja dhi u. du.
ကန္တိဂုဏ်	ကန် တိ ဂုဏ်	kan ti. goun
ကန်တော့	ကန် တော့	ga- do.
ကန်တော့ဆွမ်း	ကန် တော့ ဆွမ်း	ga- do. zun:
ကန်တော့ပွဲ	ကန် တော့ ပွဲ	ga- do. bwe:
ကန်ထရိုက်	ကန် ထ ရိုက်	kan hta- rai'
ကန်ထရိုက်ဆွဲ	ကန် ထ ရိုက် ဆွဲ	kan hta- rai' hswe'
ကန်ပိုင်	ကန် ပိုင်	kan bain
ကန်ပေါင်	ကန် ပေါင်	kan baun
ကန်သင်း	ကန် သင်း	ga- dhin:
ကန်သင်း	ကန် သင်း	ga- zin:
ကန်သင်းဆွဲ	ကန် သင်း ဆွဲ	ga- zin: hswe:
ကန်းမ	ကန်း မ	gan: ma
ကပ်ကလူ	ကပ် က လူ	ka' ka lu
ကပ်ကိုး	ကပ် ကိုး	ka' kou:
ကပ်ကျော်	ကပ် ကျော်	ka' kyo
ကပ်ကြီးသုံးပါး	ကပ် ကြီး သုံး ပါး	ka' kyi: thoun: ba:
ကပ်ချွဲ	ကပ် ချွဲ	ka' chwe:
ကပ်ငြိ	ကပ် ငြိ	ka' nji.
ကပ်စေးကပ်စေး	ကပ် စေး ကပ် စေး	ka' si: ka' si:
ကပ်စေးနှဲ	ကပ် စေး နှဲ	ka' sei: ne:
ကပ်စေးနှဲ	ကပ် စေး နှဲ	ka' si: ne:
ကပ်ဆိုက်	ကပ် ဆိုက်	ka' hsai'
ကပ်ဆေး	ကပ် ဆေး	ka' hsei:
ကပ်တိုက်	ကပ် တိုက်	ka' tai'
ကပ်နာ	ကပ် နာ	ka' na
ကပ္ပနာ	ကပ် ပ နာ	ka' pa- na
ကပ္ပဗိန္ဒု	ကပ် ပ ဗိန် ဒု	ka' pa. bein du.
ကပ္ပလီ	ကပ် ပ လီ	ka' pa- li
ကပ္ပဋ္ဌီတိလေးပါး	ကပ် ပဋ် ဌီ တိ လေး ပါး	ka' pa. hti ti. lei: ba:
ကပ်ပယ်	ကပ် ပယ်	ka' pe
ကပ်ပယ်အိတ်	ကပ် ပယ် အိတ်	ka' pe ei'
ကပ်ပါး	ကပ် ပါး	ka' pa:
ကပ်ပါးရပ်ပါး	ကပ် ပါး ရပ် ပါး	ka' pa: ja' pa:
ကပ္ပိ	ကပ် ပိ	ka' pi.
ကပ္ပိယ	ကပ် ပိ ယ	ka' pi. ja.
ကပ္ပီတန်	ကပ် ပီ တန်	ka' pi tan
ကပ်ပြုမိုး	ကပ် ပြု မိုး	ka' pju. mou:
ကပ်မြှောင်	ကပ် မြှောင်	ka' mhjaun
ကပ်ရပ်	ကပ် ရပ်	ka' ja'
ကပ်လှူ	ကပ် လှူ	ka' lhu
ကပ်အိတ်	ကပ် အိတ်	ka' ei'
ကမ္ပလွေ	ကမ် ပ လွေ	ga- ba- lwei
ကမ္ပည်း	ကမ် ပည်း	ga- bji:
ကမ္ပည်းထိုး	ကမ် ပည်း ထိုး	ga- bji: htou:
ကမ္ပတ်	ကမ် ပတ်	ga- ba'
ကမ္ပတ်	ကမ် ပတ်	kan ba'
ကမ္ဗလာ	ကမ် ဗ လာ	ga- ba- la
ကမ္ဘာ	ကမ် ဘာ	ga- ba
ကမ္ဘာကျော်	ကမ် ဘာ ကျော်	ga- ba gyo
ကမ္ဘာဂြိုဟ်	ကမ် ဘာ ဂြိုဟ်	ga- ba gyou
ကမ္ဘာစစ်	ကမ် ဘာ စစ်	ga- ba si'
ကမ္ဘာနာ	ကမ် ဘာ နာ	ga- ba na
ကမ္ဘာပြုမိုး	ကမ် ဘာ ပြု မိုး	ga- ba pju mou:
ကမ္ဘာရန်	ကမ် ဘာ ရန်	ga- ba jan
ကမ္ဘာလုံး	ကမ် ဘာ လုံး	ga- ba loun:
ကမ္ဘာလုံးခြမ်း	ကမ် ဘာ လုံး ခြမ်း	ga- ba loun: gyan:
ကမ္ဘာလောက	ကမ် ဘာ လော က	ga- ba lo: ka.
ကမ္ဘာလေးရပ်	ကမ် ဘာ လေး ရပ်	ga- ba lei: ja'
ကမ်ဘာလှည့်ခရီးသည်	ကမ် ဘာ လှည့် ခ ရီး သည်	ga- ba lhe. kha- ji: dhe
ကမ္ဘာ့စျေးကွက်	ကမ် ဘာ့ စျေး ကွက်	ga- ba. zei: gwe'
ကမ္ဘာ့ရက်သတ်မျဉ်း	ကမ် ဘာ့ ရက် သတ် မျဉ်း	ga- ba. je' tha' mjin:
ကမ္မဇရုပ်	ကမ် မ ဇ ရုပ်	ka- ma- za. jou'
ကမ္မဇလေ	ကမ် မ ဇ လေ	ka- ma- za. lei
ကမ္မဇိဒ္ဓိ	ကမ် မ ဇိဒ် ဓိ	ka- ma- zei' di.
ကမ္မဝဋ်	ကမ် မ ဝဋ်	kan ma. wu'
ကမ္မဝါ	ကမ် မ ဝါ	ka- ma- wa
ကမ္မသကာ	ကမ် မ သ ကာ	kan ma. tha- ga
ကမ္မသကာထား	ကမ် မ သ ကာ ထား	kan ma. tha- ga hta:
ကမ္မဋ္ဌာန်း	ကမ် မဋ် ဌာန်း	ka- ma- htan:
ကမ္မဋ္ဌာန်းထိုင်	ကမ် မဋ် ဌာန်း ထိုင်	ka ma- htan: htain
ကမ်းကုန်	ကမ်း ကုန်	kan: koun
ကမ်းကုန်အောင်	ကမ်း ကုန် အောင်	kan: kou naun
ကမ်းခြေ	ကမ်း ခြေ	kan: gyei
ကမ်းခြေစောင့်တပ်	ကမ်း ခြေ စောင့် တပ်	kan: gyei zaun. ta'
ကမ်းစပ်	ကမ်း စပ်	kan: za'
ကမ်းတက်	ကမ်း တက်	kan: te'
ကမ်းတက်သင်္ဘော	ကမ်း တက် သင် ဘော	kan: de' thin: bo:
ကမ်းတင်	ကမ်း တင်	kan: tin
ကမ်းထိုးရေယာဉ်	ကမ်း ထိုး ရေ ယာဉ်	kan: htou: jei jin
ကမ်းနဖူး	ကမ်း န ဖူး	kan: na- hpu:
ကမ်းနား	ကမ်း နား	kan: na:
ကမ်းပါး	ကမ်း ပါး	ga- ba:
ကမ်းပါး	ကမ်း ပါး	kan: ba:
ကမ်းပါးပြို	ကမ်း ပါး ပြို	ga- ba: pjou
ကမ်းပါးယံ	ကမ်း ပါး ယံ	ga- ba- jan
ကမ်းပြို	ကမ်း ပြို	kan: pjou
ကမ်းပြိုထိုး	ကမ်း ပြို ထိုး	kan: bjou htou:
ကမ်းမြောင်ဒေသ	ကမ်း မြောင် ဒေ သ	kan: mjaun dei tha.
ကမ်းယပ်	ကမ်း ယပ်	kan: ja'
ကမ်းယံ	ကမ်း ယံ	kan: jan
ကမ်းရိုးတန်း	ကမ်း ရိုး တန်း	kan: jou: dan:
ကမ်းလွန်	ကမ်း လွန်	kan: lun
ကမ်းလှမ်း	ကမ်း လှမ်း	kan: lhan:
ကမ်းဦးရေတိမ်ပိုင်း	ကမ်း ဦး ရေ တိမ် ပိုင်း	kan: u: jei dein bain:
ကယ်ဆယ်	ကယ် ဆယ်	ke ze
ကယ်ဆယ်ရေးရန်ပုံငွေ	ကယ် ဆယ် ရေး ရန် ပုံ ငွေ	ke ze jei: jan boun ngwei
ကယ်တင်	ကယ် တင်	ke tin
ကယ်တင်ရှင်	ကယ် တင် ရှင်	ke tin shin
ကယ်ပါ	ကယ် ပါ	ke ba
ကယ်ပေါက်	ကယ် ပေါက်	ge bau'
ကယ်မ	ကယ် မ	ke ma.
ကယ်လောင်း	ကယ် လောင်း	ge laun:
ကာက	ကာ က	ka ga.
ကာကာဆိုင်	ကာ ကာ ဆိုင်	ka ka zain
ကာကီ	ကာ ကီ	ka ki
ကာကျူပွတ်	ကာ ကျူ ပွတ်	ka kyu bu'
ကာကွယ်	ကာ ကွယ်	ka gwe
ကာကွယ်ဆေး	ကာ ကွယ် ဆေး	ka gwe zei:
ကာကွယ်ဆေးထိုး	ကာ ကွယ် ဆေး ထိုး	ka gwe zei: htou:
ကာကွယ်ရေး	ကာ ကွယ် ရေး	ka gwe jei:
ကာကွယ်ရေးဦးစီးချုပ်	ကာ ကွယ် ရေး ဦး စီး ချုပ်	ka gwe jei: u: zi: gyou'
ကာချင်း	ကာ ချင်း	ka gyin:
ကာချယ်	ကာ ချယ်	ka che
ကာဆီး	ကာ ဆီး	ka hsi:
ကာဆွဲပေါက်	ကာ ဆွဲ ပေါက်	ka hswe: bau'
ကာတွန်း	ကာ တွန်း	ka tun:
ကာပြန်	ကာ ပြန်	ka pjan
ကာဗွန်	ကာ ဗွန်	ka bun
ကာဗွန်စက္ကူ	ကာ ဗွန် စက် ကူ	ka bun se' ku
ကာဘိုင်	ကာ ဘိုင်	ka bain
ကာဘော်လစ်ဆီ	ကာ ဘော် လစ် ဆီ	ka bo li' hsi
ကာမ	ကာ မ	ka ma.
ကာမဂုဏ်	ကာ မ ဂုဏ်	ka ma- goun
ကာမပိုင်	ကာ မ ပိုင်	ka ma- bain
ကာမဘုံ	ကာ မ ဘုံ	ka ma. boun
ကာမတ္တ	ကာ မတ် တ	ka ma' ta.
ကာမိ	ကာ မိ	ka mi.
ကာယ	ကာ ယ	ka ja.
ကာယကံ	ကာ ယ ကံ	ka ja- gan
ကာယကံမြောက်	ကာ ယ ကံ မြောက်	ka ja- gan mjau'
ကာယကံရှင်	ကာ ယ ကံ ရှင်	ka ja- gan shin
ကာယပညာ	ကာ ယ ပ ညာ	ka ja. pjin nja
ကာယဗလ	ကာ ယ ဗ လ	ka ja. ba- la.
ကာယလုပ်သား	ကာ ယ လုပ် သား	ka ja. lou' tha:
ကာယိန္ဒြေ	ကာ ယိန် ဒြေ	ka jein da-
ကာရက	ကာ ရ က	ka ra- ka.
ကာရန်	ကာ ရန်	ka jan
ကာရန်မဲ့ကဗျာ	ကာ ရန် မဲ့ က ဗျာ	ka jan me. ga- bja
ကာရန်သင့်	ကာ ရန် သင့်	ka jan thin.
ကာရိုက်ကြိယာ	ကာ ရိုက် ကြိ ယာ	ka rai' ka- ri.
ကာလ	ကာ လ	ka la.
ကာလစကား	ကာ လ စ ကား	ka la. za- ga:
ကာလတန်ဖိုး	ကာ လ တန် ဖိုး	ka la. tan bou:
ကာလနဂါး	ကာ လ န ဂါး	ka la. na- ga:
ကာလနာ	ကာ လ နာ	ka la. na
ကာလပေါက်စျေး	ကာ လ ပေါက် စျေး	ka la. pau' zei:
ကာလပေါ်	ကာ လ ပေါ်	ka la. bo
ကာလပျက်	ကာ လ ပျက်	ka la. bje'
ကာလဝမ်း	ကာ လ ဝမ်း	ka la. wan:
ကာလဝမ်း	ကာ လ ဝမ်း	ka la. wun:
ကာလသား	ကာ လ သား	ka la. dha:
ကာလသားချက်	ကာ လ သား ချက်	ka la. dha: gye'
ကာလသားရောဂါ	ကာ လ သား ရော ဂါ	ka la. dha: jo: ga
ကာသာပေး	ကာ သာ ပေး	ka tha pei:
ကာဠသုတ်	ကာ ဠ သုတ်	ka la. thou'
ကားကြက်	ကား ကြက်	ka: kye'
ကားချပ်	ကား ချပ်	ka: gya'
ကားဂိတ်	ကား ဂိတ်	ka: gei'
ကားစင်	ကား စင်	ka: zin
ကားစင်တင်	ကား စင် တင်	ka: zin tin
ကားဆိပ်	ကား ဆိပ်	ka: zei'
ကားပစ္စည်း	ကား ပစ် စည်း	ka: pji' si:
ကားမှတ်တိုင်	ကား မှတ် တိုင်	ka: mha' tain
ကားရား	ကား ရား	ka: ja:
ကားရုံ	ကား ရုံ	ka: joun
ကားလိပ်	ကား လိပ်	ka: lei'
ကားလိုင်း	ကား လိုင်း	ka: lain:
ကိမိလဗေဒ	ကိ မိ လ ဗေ ဒ	ki. mi. la. bei da.
ကိမိလဗေဒပညာရှင်	ကိ မိ လ ဗေ ဒ ပ ညာ ရှင်	ki. mi. la. bei da. pjin nja shin
ကိရိယာ	ကိ ရိ ယာ	ka- ri. ja
ကိလိဋ္ဌဒေါသ	ကိ လိဋ် ဌ ဒေါ သ	ki. lei' hta. do: dha.
ကိလေသဝဋ်	ကိ လေ သ ဝဋ်	ki. lei tha. wu'
ကိလေသာ	ကိ လေ သာ	ki. lei tha
ကိစ္စ	ကိစ် စ	kei' sa.
ကိစ္စကြီးငယ်	ကိစ် စ ကြီး ငယ်	kei' sa kyi: nge
ကိစ္စချော	ကိစ် စ ချော	kei' sa. cho:
ကိစ္စငြိမ်း	ကိစ် စ ငြိမ်း	kei' sa. njein:
ကိစ္စတုံး	ကိစ် စ တုံး	kei' sa. toun:
ကိစ္စပြတ်	ကိစ် စ ပြတ်	kei' sa. pja'
ကိစ္စမရှိ	ကိစ် စ မ ရှိ	kei. sa ma- shi.
ကိစ္စများ	ကိစ် စ များ	kei' sa. mja:
ကိစ္စဝိစ္စ	ကိစ် စ ဝိစ် စ	kei' sa wei' sa
ကိတ်မုန့်	ကိတ် မုန့်	kei' moun.
ကိန္နရာ	ကိန် န ရာ	kein na- ja
ကိန္နရာနာ	ကိန် န ရာ နာ	kein na- ja na
ကိန္နရီ	ကိန် န ရီ	kein na- ji:
ကိန်းကြီးခန်းကြီး	ကိန်း ကြီး ခန်း ကြီး	kein: gyi: khan: gyi:
ကိန်းခန်း	ကိန်း ခန်း	kein: khan:
ကိန်းဂဏန်း	ကိန်း ဂ ဏန်း	kein: ga- nan:
ကိန်းစစ်	ကိန်း စစ်	kein: zi'
ကိန်းစဉ်တန်း	ကိန်း စဉ် တန်း	kein: zin dan:
ကိန်းစုတန်း	ကိန်း စု တန်း	kein zu dan
ကိန်းဆိုက်	ကိန်း ဆိုက်	kein: hsai'
ကိန်းတန်း	ကိန်း တန်း	kein: dan:
ကိန်းထွေ	ကိန်း ထွေ	kein: htwei
ကိန်းနှော	ကိန်း နှော	kain: nho:
ကိန်းပြည့်	ကိန်း ပြည့်	kein: bjei
ကိန်းပြည့်	ကိန်း ပြည့်	kein: bji:
ကိန်းယောင်	ကိန်း ယောင်	kein: jaun
ကိန်းရင်း	ကိန်း ရင်း	kein: jin:
ကိန်းရော	ကိန်း ရော	kein: jo:
ကိန်းရှင်	ကိန်း ရှင်	kein: shin
ကိန်းဝပ်	ကိန်း ဝပ်	kein: wu'
ကိန်းသေ	ကိန်း သေ	kein: dhei
ကိန်းသေပေါက်	ကိန်း သေ ပေါက်	kein: dhei bau'
ကိန်းအောင်း	ကိန်း အောင်း	kein: aun:
ကိုကင်း	ကို ကင်း	kou kin:
ကိုကို	ကို ကို	kou kou
ကိုကိုး	ကို ကိုး	kou kou:
ကိုဓဥပဒေ	ကို ဓ ဥ ပ ဒေ	kou da. u ba- dei
ကိုရင်	ကို ရင်	kou jin
ကိုရင်ဝတ်	ကို ရင် ဝတ်	kou jin wu'
ကိုလိုနီ	ကို လို နီ	kou lou ni
ကိုလိုနီဝါဒ	ကို လို နီ ဝါ ဒ	kou lou ni wa da.
ကိုက်ခဲ	ကိုက် ခဲ	kai' khe:
ကိုက်ညီ	ကိုက် ညီ	kai' nji
ကိုက်တောင်	ကိုက် တောင်	gai' taun
ကိုက်တံ	ကိုက် တံ	gai' tan
ကိုက်ထိုး	ကိုက် ထိုး	gai' htou:
ကိုက်လန်	ကိုက် လန်	kai' lan
ကိုင်စွဲ	ကိုင် စွဲ	kain swe:
ကိုင်ဆောင်	ကိုင် ဆောင်	kain hsaun
ကိုင်တွယ်	ကိုင် တွယ်	kain twe
ကိုင်ပေါက်	ကိုင် ပေါက်	kain pau'
ကိုင်လှုပ်	ကိုင် လှုပ်	kain lhou'
ကိုင်းကုန်	ကိုင်း ကုန်	kain: goun
ကိုင်းကျွန်း	ကိုင်း ကျွန်း	kain: kyun:
ကိုင်းကျွန်းမှီကျွန်းကိုင်းမှီ	ကိုင်း ကျွန်း မှီ ကျွန်း ကိုင်း မှီ	kain: kyun: mhi kyun: kain: mhi
ကိုင်းဆက်ကူး	ကိုင်း ဆက် ကူး	gain: hse' ku:
ကိုင်းဆတ်မြီး	ကိုင်း ဆတ် မြီး	kain hsa' mi:
ကိုင်းညွတ်	ကိုင်း ညွတ်	kain: nju'
ကိုင်းထောက်	ကိုင်း ထောက်	gain: htau'
ကိုင်းထောင်	ကိုင်း ထောင်	gain: htaun
ကိုင်းပန်းပြားပင်	ကိုင်း ပန်း ပြား ပင်	kain: ba- bja: bin
ကိုင်းပျ	ကိုင်း ပျ	kain: pja
ကိုင်းဖြူမြီး	ကိုင်း ဖြူ မြီး	kain: bju mi:
ကိုင်းရှိုင်း	ကိုင်း ရှိုင်း	kain: shain:
ကိုင်းလွှ	ကိုင်း လွှ	gain: lhwa.
ကိုင်းဥ	ကိုင်း ဥ	kain: u.
ကိုယ့်ကိုယ်ကိုသတ်သေ	ကိုယ့် ကိုယ် ကို သတ် သေ	kou. kou kou tha' thei
ကိုယ့်ဘာသာ	ကိုယ့် ဘာ သာ	kou. hpa dha
ကိုယ့်မင်းကိုယ့်ချင်း	ကိုယ့် မင်း ကိုယ့် ချင်း	kou. min: kou. chin:
ကိုယ့်ရှူးကိုယ်ပတ်	ကိုယ့် ရှူး ကိုယ် ပတ်	kou. shu: kou pa'
ကိုယ့်အားကိုယ်ကိုး	ကိုယ့် အား ကိုယ် ကိုး	kou. a: kou kou:
ကိုယ်ကျင့်တရား	ကိုယ် ကျင့် တ ရား	kou gyin. ta- ja:
ကိုယ်ကျိုး	ကိုယ် ကျိုး	kou gyou:
ကိုယ်ကျိုးစွန့်	ကိုယ် ကျိုး စွန့်	kou gyou: sun.
ကိုယ်ကျိုးနည်း	ကိုယ် ကျိုး နည်း	kou gyou: ne:
ကိုယ်ကျိုးရှာ	ကိုယ် ကျိုး ရှာ	kou gyou: sha:
ကိုယ်ခန္ဓာ	ကိုယ် ခန် ဓာ	kou khan da
ကိုယ်ခံပညာ	ကိုယ် ခံ ပ ညာ	kou gan pjin nja
ကိုယ်ချင်းစာ	ကိုယ် ချင်း စာ	kou gyin: sa
ကိုယ်ချင်းစာတရား	ကိုယ် ချင်း စာ တ ရား	kou gyin: sa ta- ja:
ကိုယ်ခွဲ	ကိုယ် ခွဲ	kou gwe:
ကိုယ်ငွေ့	ကိုယ် ငွေ့	kou ngwei.
ကိုယ်စား	ကိုယ် စား	kou za:
ကိုယ်စားလှယ်	ကိုယ် စား လှယ်	kou za- le
